title,company,job_category,experience,salary,location,tech_stack
2025년 12월 캐논코리아 신입사원 채용 인턴전형(채용연계형),캐논코리아 주식회사,백엔드,신입,회사내규에 따름,서울,[]
각 부문 신입/경력 채용,(주)위츠,백엔드,신입/경력,회사내규에 따름,수원,"['Git', 'Linux']"
도미노피자 각 부문(자회사 포함) 공개 채용,청오디피케이(주),백엔드,신입/경력,회사내규에 따름,서울,"['AWS', 'Git', 'Java', 'Kubernetes', 'Linux', 'MySQL', 'PostgreSQL', 'Python', 'React', 'SQL', 'Spring']"
프런트/백앤드 개발자 (신입/경력),(주)테이슨,백엔드,신입/경력,회사내규에 따름,과천지도,[]
신입 및 경력직원 채용공고,(주)유엔에이엔지니어링,백엔드,신입/경력,회사내규에 따름,"포,","['Java', 'Linux', 'Spring']"
각 부문별 채용,(주)웨어밸리,백엔드,신입/경력,회사내규에 따름,서울,"['Linux', 'SQL']"
2025년 전직군 신입/경력 채용,(주)더블티,백엔드,신입,회사내규에 따름,수원,"['AWS', 'JavaScript', 'Kubernetes', 'MySQL', 'Next.js', 'PostgreSQL', 'React', 'Vue.js']"
2025년 하반기 각 부문별 신입 및 경력 채용,(주)씨아이테크,백엔드,신입/경력,회사내규에 따름,서울,"['AWS', 'Docker', 'Git', 'JavaScript', 'Kubernetes', 'MongoDB', 'Next.js', 'Node.js', 'PostgreSQL', 'Python', 'React', 'SQL', 'TypeScript', 'Vue.js']"
[신입/경력] Backend 개발자 채용 (면접비 지급),(주)데이터유니버스,백엔드,신입/경력,회사내규에 따름,서울,"['Kubernetes', 'Linux']"
㈜위즈코리아 '25년 하반기 신입/경력 사원 모집,(주)위즈코리아,백엔드,신입/경력,회사내규에 따름,서울,"['Java', 'JavaScript', 'Linux', 'Python', 'Vue.js']"
2025년 4분기 NICE피앤아이 채용 공고,나이스피앤아이(주),백엔드,신입/경력,회사내규에 따름,서울,"['Linux', 'Python', 'SQL']"
(스타트업) 로워드 Back-End Engineer 채용 (신입),(주)로워드,백엔드,신입,회사내규에 따름,서울,"['AWS', 'Docker', 'JavaScript', 'Kubernetes', 'Node.js', 'PostgreSQL']"
2025 부문별 공개채용,정우산기(주),백엔드,신입/경력,회사내규에 따름,충남,[]
주니어 백엔드 개발 ( 신입 ~ 3년 이하),스페이스맵(주),백엔드,신입/경력,회사내규에 따름,서울,"['AWS', 'Docker', 'JavaScript', 'Kubernetes', 'Python', 'TypeScript']"
[유망스타트업] 백엔드 + 앱개발 (신입),케이저(주),백엔드,신입,월급 230만원,인천,"['PostgreSQL', 'Python']"
"강림중공업, 강림인슈 신입/경력 채용",강림중공업(주),백엔드,신입/경력,회사내규에 따름,경남,[]
LIG시스템 각 부문별 신입/경력직 채용,(주)엘아이지시스템,백엔드,신입/경력,회사내규에 따름,서울,"['Java', 'JavaScript', 'Linux', 'PostgreSQL', 'Spring']"
이제너두(주) 각 부문별 수시 채용 (정규/계약직),이제너두(주),백엔드,신입/경력,회사내규에 따름,서울,"['AWS', 'Java', 'Linux', 'Node.js', 'Spring']"
삼영무역(주) 신입사원 모집 (경영관리/IT운영),삼영무역(주),백엔드,신입,회사내규에 따름,서울,[]
[링커리어] 백엔드개발 신입(정규직),주식회사 링커리어,백엔드,신입,회사내규에 따름,서울,"['Git', 'JavaScript', 'MySQL', 'Node.js', 'PostgreSQL', 'SQL', 'TypeScript']"
[신입/경력] 핀테크 스타트업 백엔드 개발자/데이터 엔지니어,(주)지엔이테크홀딩스,백엔드,신입/경력,연봉 3600만원,서울,"['AWS', 'SQL']"
R&D / 서버/백엔드 개발자(신입),(주)반프,백엔드,신입,회사내규에 따름,서울,"['AWS', 'JavaScript', 'MongoDB', 'MySQL', 'Python', 'SQL', 'TypeScript']"
㈜우진플라임 부문별 인재채용,(주)우진플라임,백엔드,신입/경력,회사내규에 따름,충북,['SQL']
바이오플러스㈜ 2025년 하반기 각 부문별 수시채용,바이오플러스(주),백엔드,신입/경력,회사내규에 따름,성남,[]
2025년 4차 신입/경력직 수시채용,(주)아이엠데이터시스템,백엔드,신입/경력,회사내규에 따름,대구,[]
[코스닥 상장사] 2025년 이에이트 부문별 채용,이에이트(주),백엔드,신입/경력,회사내규에 따름,서울,"['Java', 'JavaScript', 'Node.js', 'Spring']"
[3M] 한국쓰리엠 신입/경력사원 모집 안내,한국쓰리엠(주),백엔드,신입/경력,회사내규에 따름,서울,[]
[신입/경력]글로벌사업부 백엔드 개발자(Spring Specialist),이데아텍(주),백엔드,신입,회사내규에 따름,서울,"['AWS', 'Docker', 'Java', 'Kubernetes', 'Linux', 'MongoDB', 'MySQL', 'PostgreSQL', 'Spring']"
한국특수가스㈜ 부문별 신입 및 경력 채용,한국특수가스(주),백엔드,신입/경력,회사내규에 따름,전북,[]
2025년 하반기 각 부문 수시채용,한국요꼬가와일렉트로닉스매뉴팩처링(주),백엔드,신입/경력,회사내규에 따름,인천,[]
2025년 12월 롯데이노베이트 신입사원 채용 일반전형,롯데이노베이트(주),백엔드,신입,회사내규에 따름,서울,"['Java', 'JavaScript', 'Linux', 'Python', 'SQL', 'Spring']"
2025년 해커스 교육그룹 [신입/경력] 각 부문별 채용공고,해커스교육그룹,백엔드,신입/경력,회사내규에 따름,서울,[]
[개발자] 신입/경력 백엔드 개발자 정규직 모집,(주)다스버스,백엔드,신입/경력,회사내규에 따름,서울,[]
[비트망고] Back-end Programmer (신입인턴/경력),(주)비트망고,백엔드,신입/경력,회사내규에 따름,성남,[]
YC-EXICON-SEMCNS GROUP 2025년도 하반기 신입사원 공개채용,(주)와이씨,백엔드,신입,회사내규에 따름,성남,['Linux']
백엔드 개발자 채용[신입],(주)건강누리,백엔드,신입,회사내규에 따름,서울,"['Java', 'MySQL']"
백엔드 개발자 신입 모집,(주)에이아이컨실리움,백엔드,신입,회사내규에 따름,인천,"['AWS', 'Docker', 'JavaScript', 'MongoDB', 'MySQL', 'Node.js', 'PostgreSQL', 'Python', 'React', 'TypeScript']"
㈜푸드테크 하반기 신입/경력 전부문 채용,(주)푸드테크,백엔드,신입/경력,회사내규에 따름,서울,"['AWS', 'JavaScript', 'SQL', 'Spring', 'Spring Boot', 'Vue.js']"
(주)예림키친 각 부문 신입/경력사원 채용,(주)예림키친,백엔드,신입/경력,회사내규에 따름,인천,[]
"백엔드 개발자 모집 (C, JAVA) (신입/경력)",(주)셀파소프트,백엔드,신입/경력,연봉 3500만원,서울,[]
[중견기업/IT계열] 데이타솔루션 개발자 / 데이터 엔지니어 채용,(주)데이타솔루션,백엔드,신입/경력,회사내규에 따름,서울,"['AWS', 'Git', 'JavaScript', 'Kubernetes', 'Linux', 'Next.js', 'Node.js', 'PostgreSQL', 'Python', 'React', 'SQL', 'Spring', 'Spring Boot', 'Vue.js']"
각 부문 신입 및 경력 채용,(주)제머나이소프트,백엔드,신입/경력,회사내규에 따름,서울,"['AWS', 'Docker', 'JPA', 'Java', 'JavaScript', 'Kubernetes', 'Linux', 'MySQL', 'PostgreSQL', 'Spring', 'Spring Boot', 'Vue.js']"
2025년 하반기 상시채용 모집,(주)티엑스알로보틱스,백엔드,신입/경력,회사내규에 따름,서울,"['AWS', 'Docker', 'JavaScript', 'Kubernetes', 'Python', 'React', 'SQL', 'Vue.js']"
[대상정보기술] 각 부문별 신입·경력 채용,대상정보기술(주),백엔드,신입/경력,회사내규에 따름,서울,['JavaScript']
(재)씨젠의료재단 IT운영팀(LIMS) 전문인력채용,(재)씨젠의료재단,백엔드,신입,회사내규에 따름,서울,"['JPA', 'Java', 'Kubernetes', 'React', 'Spring']"
(주)코아맥스테크놀로지 연구소 자사 솔루션 개발자 채용,(주)코아맥스테크놀로지,백엔드,신입,회사내규에 따름,서울,"['Java', 'JavaScript', 'MySQL', 'PostgreSQL', 'SQL', 'Spring']"
인사총무팀(신입 및 경력)·감사실·IT팀(경력) 사원 채용 공고,(주)복산나이스,백엔드,신입/경력,회사내규에 따름,부산,[]
"[매그넷] 네트워크 엔지니어 신입, 경력 채용",(주)매그넷,백엔드,신입/경력,회사내규에 따름,서울,[]
(주)프리뉴 백엔드 개발자 모집,(주)프리뉴,백엔드,신입/경력,회사내규에 따름,안산,"['AWS', 'Docker', 'Git', 'Java', 'JavaScript', 'Kubernetes', 'MongoDB', 'MySQL', 'Node.js', 'Spring']"
[비즈톡(주)] WEB 시스템 운영 및 유지보수 부문 채용,비즈톡(주),백엔드,신입,회사내규에 따름,서울,[]
Backend 개발 전문가 모집(4년 이상 경력 우대),(주)엘핀,백엔드,신입/경력,회사내규에 따름,서울,['Spring']
[신입/경력] React/Spring Boot 기반 개발자 채용 (면접비 지급),(주)데이터유니버스,백엔드,신입/경력,회사내규에 따름,서울,"['Java', 'MySQL', 'React', 'Spring', 'Spring Boot']"
부문별 수시채용 직원모집,한양이엔지(주),백엔드,신입/경력,회사내규에 따름,"화성,","['Java', 'JavaScript', 'SQL', 'Spring']"
2025년 예가람저축은행 각 부문별 [경력/전문계약직/외국인] 직원 공개 채용,(주)예가람저축은행,백엔드,신입/경력,회사내규에 따름,서울,"['MySQL', 'PostgreSQL']"
[솔탑] 2025년 부문별 신입/경력사원 모집,(주)솔탑,백엔드,신입/경력,회사내규에 따름,"세종특별자치시,",[]
(주)CMB 신입/경력 사원 채용 공고,(주)씨엠비,백엔드,신입,회사내규에 따름,대전,[]
(주)케이사인 보안통합인증개발 신입/경력 모집,(주)케이사인,백엔드,신입/경력,회사내규에 따름,"과천,",[]
[KG이니시스] 플랫폼개발팀 정규직 채용,(주)케이지이니시스,백엔드,신입,회사내규에 따름,서울,[]
[인천공항] AACT 화물터미널 각 부문 신입/경력 정규직 모집,에이에이씨티(유),백엔드,신입/경력,회사내규에 따름,인천,[]
에이엠㈜ 신입/경력 채용 모집,에이엠(주),백엔드,신입/경력,회사내규에 따름,"과천,","['AWS', 'Docker', 'Java', 'JavaScript', 'Kubernetes', 'Linux', 'Python', 'SQL']"
입찰분석연구원 외 각 부문별 신입 및 경력사원 모집,(주)세종분석연구원,백엔드,신입/경력,회사내규에 따름,서울,"['Linux', 'MySQL']"
S/W QA & Test Engineer (신입/경력) 모집합니다.,컴즈(주),백엔드,신입/경력,회사내규에 따름,서울,[]
